taxid,taxaname
1922348,unclassified RNA viruses ShiM-2016
1926997,Bivalve RNA virus G4
1926998,Bivalve hepelivirus G
1930920,Adelphocoris suturalis virus
1930921,Nesidiocoris tenuis virus
2025595,Abisko virus
2079458,Osedax japonicus RNA virus 1
2303160,Phytophthora infestans RNA virus 2
2732405,Duplornaviricota
2732406,Kitrinoviricota
2732407,Lenarviricota
2732408,Pisuviricota
2788808,unclassified Orthornavirae
10993,Birnaviridae
1283210,Permutotetraviridae
1918013,Botybirnavirus
2497569,Negarnaviricota
2732409,Artverviricota
1915204,Albetovirus
1917979,Aumaivirus
1921431,Papanivirus
1925802,Virtovirus
2732900,Polymycoviridae
39780,unclassified dsRNA viruses
529840,Mulberry small circular viroid-like RNA 1
758918,Rubber viroid India/2009
1423421,Cherry leaf scorch small circular viroid-like RNA 1
64021,Cherry small circular viroid-like RNA
190808,Apple fruit crinkle viroid
3447223,unclassified Virus-associated RNAs
1922241,Macronovirus
2731361,Peploviricota
2731618,Uroviricota
2732410,Hofneiviricota
2732412,Phixviricota
2732415,Cossaviricota
2732416,Cressdnaviricota
2732448,Saleviricota
2732007,Nucleocytoviricota
2732008,Preplasmiviricota
2946197,Yaraviridae
2872567,Varidnaviria sp.
3412607,Produgelaviricota
2840024,Taleaviricota
2842623,Daazvirus
2842628,Daletvirus
2842649,Dobrovirus
39759,Deltavirus
3425117,Cebaduodecimvirus
10473,Plasmavirus
10475,Alphafusellovirus
693626,unclassified Fuselloviridae
1299307,Betafusellovirus
185753,Pospiviroid
185754,Cocadviroid
185756,Apscaviroid
185757,Coleviroid
147262,Hostuviroid
185758,Avsunviroid
185759,Pelamoviroid
564640,Elaviroid
2842370,Alphaglobulovirus
1298634,Betaguttavirus
680194,Bicaudavirus
1123963,unclassified Bicaudaviridae
2842567,Bottigliavirus
687331,Alphatorquevirus
687332,Betatorquevirus
687333,Gammatorquevirus
687334,Deltatorquevirus
687335,Epsilontorquevirus
687336,Zetatorquevirus
687337,Etatorquevirus
687338,Thetatorquevirus
687339,Iotatorquevirus
1218487,Kappatorquevirus
1218489,Lambdatorquevirus
2560179,Mutorquevirus
2560191,Nutorquevirus
2842365,Aleptorquevirus
2842598,Chitorquevirus
2842923,Omegatorquevirus
2843007,Rhotorquevirus
2843044,Sigmatorquevirus
2843081,Tettorquevirus
2843130,Wawtorquevirus
2843145,Xitorquevirus
3424978,Petorquevirus
227307,Gyrovirus
363628,unclassified Anelloviridae
650121,Heterocapsa circularisquama DNA virus 01
1232738,Clavavirus
2714172,unclassified Alphasatellitidae
2842420,Petromoalphasatellitinae
283494,Geminialphasatellitinae
1441744,Nanoalphasatellitinae
1511856,Alphaspiravirus
1993641,Deltasatellite
190729,Betasatellite
2169647,Alphaportoglobovirus
2560089,Alphaovalivirus
352476,Salterprovirus
2733304,Nitmarvirus
2840070,Lefavirales
196937,Nimaviridae
2946836,Bracoviriform
2948762,Ichnoviriform
3044702,Demiitzamnavirus
3044794,Pletoitzamnavirus
2732009,Dividoviricota
1783234,Bacteria candidate phyla
77133,uncultured bacterium
558688,uncultured bacterium HH1107
558689,uncultured bacterium HHV35
2355,unidentified bacterial endosymbiont
28221,Deltaproteobacteria
1798711,Cyanobacteriota/Melainabacteria group
1239,Bacillota
67819,Armatimonadota
200795,Chloroflexota
201174,Actinomycetota
544448,Mycoplasmatota
1154676,Vulcanimicrobiota
1224,Pseudomonadota
29547,Campylobacterota
40117,Nitrospirota
57723,Acidobacteriota
67818,Atribacterota
68297,Dictyoglomota
74152,Elusimicrobiota
200783,Aquificota
200930,Deferribacterota
200938,Chrysiogenota
200940,Thermodesulfobacteriota
203691,Spirochaetota
1783257,PVC group
1783270,FCB group
1802340,Nitrospinota/Tectimicrobiota group
1930617,Calditrichota
2138240,Coprothermobacterota
2498710,Caldisericota/Cryosericota group
2818505,Myxococcota
3002442,Thermodesulfobiota
3018035,Bdellovibrionota
3027942,Thermomicrobiota
3123113,Thermosulfidibacterota
32066,Fusobacteriota
1297,Deinococcota
200918,Thermotogota
508458,Synergistota
28889,Thermoproteota
651137,Nitrososphaerota
1801631,Candidatus Micrarchaeota
192989,Nanobdellota
1462430,Candidatus Nanohalarchaeota
3366641,Promethearchaeota
28890,Methanobacteriota
2283796,Thermoplasmatota
35493,Streptophyta
33208,Metazoa
4751,Fungi
2605435,Evosea
5752,Heterolobosea
33634,Stramenopiles
45419,Plasmid pFA6
77644,IncQ plasmid pIE1120
167474,Plasmid pWW100
2468,Plasmid NR79
2474,Plasmid PDS075
2486,Plasmid R387
2488,Plasmid R46
2503,Plasmid RP4
2508,Plasmid R
2524,Plasmid pAM77
2525,Plasmid pAZ1
2571,Plasmid pIP1527
2575,Plasmid pIP630
2578,Plasmid pJHC-MW1
2609,Plasmid pNG2
2641,Plasmid pTB913
2655,Plasmid pUB110
28406,Plasmid pGT633
28425,Plasmid pWP113a
36542,Plasmid pE5
575913,Sea turtle tornovirus 1
642251,Circovirus-like genome RW-A
642252,Circovirus-like genome RW-B
642253,Circovirus-like genome RW-C
642254,Circovirus-like genome RW-D
642258,Circovirus-like genome SAR-A
642259,Circovirus-like genome SAR-B
642260,Circovirus-like genome BBC-A
1224510,Nepavirus
1234874,Dragonfly orbiculatusvirus
1234878,Dragonfly cyclicusvirus
1234888,Dragonfly-associated microphage 1
1282444,Cyanoramphus nest associated circular K DNA virus
1296573,Gastropod associated circular ssDNA virus
1407638,Circo-like virus-Brazil
1454026,Dragonfly larvae associated circular virus-5
1454027,Dragonfly larvae associated circular virus-6
1454028,Dragonfly larvae associated circular virus-7
1454029,Dragonfly larvae associated circular virus-8
1516127,Chaetoceros tenuissimus DNA virus type-II
1521385,McMurdo Ice Shelf pond-associated circular DNA virus-1
1521386,McMurdo Ice Shelf pond-associated circular DNA virus-2
1521388,McMurdo Ice Shelf pond-associated circular DNA virus-4
1521389,McMurdo Ice Shelf pond-associated circular DNA virus-5
1521390,McMurdo Ice Shelf pond-associated circular DNA virus-6
1521391,McMurdo Ice Shelf pond-associated circular DNA virus-7
1521392,McMurdo Ice Shelf pond-associated circular DNA virus-8
1590155,Bromus-associated circular DNA virus 2
1592082,Sewage-associated circular DNA virus-15
1592085,Sewage-associated circular DNA virus-18
1592088,Sewage-associated circular DNA virus-21
1592089,Sewage-associated circular DNA virus-22
1592090,Sewage-associated circular DNA virus-23
1592092,Sewage-associated circular DNA virus-25
1592093,Sewage-associated circular DNA virus-26
1592095,Sewage-associated circular DNA virus-28
1592097,Sewage-associated circular DNA virus-30
1592098,Sewage-associated circular DNA virus-31
1592100,Sewage-associated circular DNA virus-33
1592101,Sewage-associated circular DNA virus-34
1592102,Sewage-associated circular DNA virus-35
1592103,Sewage-associated circular DNA virus-36
1592104,Sewage-associated circular DNA virus-37
1592109,Odonata-associated circular virus-1
1592110,Odonata-associated circular virus-10
1592111,Odonata-associated circular virus-11
1592116,Odonata-associated circular virus-16
1592117,Odonata-associated circular virus-17
1592118,Odonata-associated circular virus-18
1592120,Odonata-associated circular virus-2
1592123,Odonata-associated circular virus-3
1592124,Odonata-associated circular virus-4
1592128,Odonata-associated circular virus-8
1592129,Odonata-associated circular virus-9
1778558,Ctenophore-associated circular virus 1
1778560,Ctenophore-associated circular virus 3
1778561,Ctenophore-associated circular virus 4
2041419,Gopherus associated circular DNA virus 1
2058757,Cruciviruses
2108549,Termite associated circular virus 1
2108551,Termite associated circular virus 3
2108552,Termite associated circular virus 4
2293279,False black widow spider associated circular virus 1
2293285,Fly associated circular virus 5
2293290,Giant house spider associated circular virus 3
2293291,Giant house spider associated circular virus 4
2293295,Longjawed orbweaver circular virus 2
2293296,Millipede associated circular virus 1
2293298,Pimoid spider associated circular virus 2
2293300,Sierra dome spider associated circular virus 2
2293304,Spider associated circular virus 3
2293309,Water beetle associated circular virus 1
2293310,Woodlouse hunter spider associated circular virus 1
2502017,Circularisvirus
2502019,Volvovirus
2517212,Porcine serum associated circular DNA virus 2
2805939,Circular ssDNA virus sp.
712037,Japanese eel endothelial cells-infecting virus
762905,Hyperthermophilic Archaeal Virus 1
1100043,Apis mellifera filamentous virus
2023203,Pithoviruses
2060084,Pandoravirus
2219222,Adomaviruses
1183239,Salisaeta icosahedral phage 1
1391455,Phormidium phage MIS-PhV1A
1391456,Phormidium phage MIS-PhV1B
1732176,Hydrogenobaculum phage 1
75590,Mycoplasma phage MAV1
425386,Pyrococcus abyssi virus 1
1732179,Sulfolobales virus YNP1
1732180,Sulfolobales Virus YNP2
1327968,Cellulophaga phage phi48:2
198608,Satellites of Trichomonas vaginalis T1 virus
365521,unclassified Double-stranded satellite RNAs
1646350,Trichomonas vaginalis virus dsRNA satellite S1
1646351,Trichomonas vaginalis virus dsRNA satellite S1prime
373508,Small linear single stranded RNA satellites
716923,unclassified Single stranded RNA satellites
141863,Circular single stranded RNA satellites
373506,Large single stranded RNA satellites
1149866,New World begomovirus associated satellite DNA
1538101,Small begomovirus-associated satellite
1778570,Ctenophore-associated circular genome 1
1778572,Ctenophore-associated circular genome 3
1778573,Ctenophore-associated circular genome 4
169696,Hollyhock leaf crumple virus satellite DNA
260479,Cotton leaf curl Multan virus satellite U36-1
302069,Begomovirus-associated DNA-II
302070,Begomovirus-associated DNA-III
988644,unclassified ssRNA negative-strand viruses
1574287,Fisavirus 1
2006394,Shinobi tetravirus
2016467,Pansavirus 1
2016468,Pansavirus 2
35278,unclassified ssRNA positive-strand viruses
1922352,Beihai anemone virus 1
1922353,Beihai astro-like virus
1922354,Beihai barnacle virus 10
1922355,Beihai barnacle virus 11
1922356,Beihai barnacle virus 12
1922357,Beihai barnacle virus 13
1922359,Beihai barnacle virus 15
1922360,Beihai barnacle virus 2
1922361,Beihai barnacle virus 3
1922362,Beihai barnacle virus 4
1922368,Beihai blue swimmer crab virus 1
1922376,Beihai charybdis crab virus 1
1922377,Wenling chuvirus-like virus 1
1922378,Wenling chuvirus-like virus 2
1922379,Beihai echinoderm virus 1
1922381,Beihai hepe-like virus 10
1922385,Beihai hepe-like virus 8
1922386,Beihai hepe-like virus 9
1922387,Beihai hepe-like virus 4
1922388,Beihai hermit crab virus 1
1922392,Beihai horseshoe crab virus 1
1922428,Beihai mantis shrimp virus 1
1922429,Beihai mantis shrimp virus 2
1922430,Beihai mantis shrimp virus 3
1922431,Beihai mantis shrimp virus 4
1922432,Beihai mantis shrimp virus 5
1922433,Beihai mantis shrimp virus 6
1922434,Beihai mollusks virus 1
1922435,Beihai mollusks virus 2
1922436,Beihai narna-like virus 1
1922437,Beihai narna-like virus 10
1922438,Beihai narna-like virus 11
1922439,Beihai narna-like virus 12
1922440,Beihai narna-like virus 13
1922441,Beihai narna-like virus 14
1922442,Beihai narna-like virus 15
1922443,Beihai narna-like virus 16
1922444,Beihai narna-like virus 17
1922445,Beihai narna-like virus 18
1922446,Beihai narna-like virus 19
1922447,Beihai narna-like virus 2
1922448,Beihai narna-like virus 20
1922449,Beihai narna-like virus 21
1922450,Beihai narna-like virus 22
1922451,Beihai narna-like virus 23
1922452,Beihai narna-like virus 24
1922454,Beihai narna-like virus 26
1922455,Beihai narna-like virus 3
1922456,Beihai narna-like virus 4
1922458,Beihai narna-like virus 6
1922460,Beihai narna-like virus 8
1922461,Beihai narna-like virus 9
1922464,Beihai noda-like virus 11
1922471,Beihai noda-like virus 18
1922483,Beihai noda-like virus 29
1922487,Beihai noda-like virus 5
1922492,Beihai octopus virus 1
1922493,Beihai octopus virus 2
1922496,Beihai paphia shell virus 1
1922497,Beihai paphia shell virus 2
1922498,Beihai paphia shell virus 3
1922499,Beihai paphia shell virus 4
1922504,Beihai partiti-like virus 2
1922513,Beihai permutotetra-like virus 2
1922524,Beihai picobirna-like virus 7
1922525,Beihai picobirna-like virus 8
1922527,Beihai picorna-like virus 1
1922528,Beihai picorna-like virus 100
1922529,Beihai picorna-like virus 101
1922530,Beihai picorna-like virus 102
1922531,Beihai picorna-like virus 103
1922532,Beihai picorna-like virus 104
1922533,Beihai picorna-like virus 105
1922534,Beihai picorna-like virus 106
1922535,Beihai picorna-like virus 107
1922536,Beihai picorna-like virus 108
1922538,Beihai picorna-like virus 11
1922539,Beihai picorna-like virus 110
1922540,Beihai picorna-like virus 111
1922541,Beihai picorna-like virus 112
1922542,Beihai picorna-like virus 113
1922543,Beihai picorna-like virus 114
1922544,Beihai picorna-like virus 115
1922545,Beihai picorna-like virus 116
1922546,Beihai picorna-like virus 117
1922547,Beihai picorna-like virus 118
1922548,Beihai picorna-like virus 119
1922549,Beihai picorna-like virus 120
1922550,Beihai picorna-like virus 121
1922551,Beihai picorna-like virus 122
1922552,Beihai picorna-like virus 123
1922553,Beihai picorna-like virus 124
1922554,Beihai picorna-like virus 125
1922556,Beihai picorna-like virus 14
1922557,Beihai picorna-like virus 15
1922558,Beihai picorna-like virus 16
1922559,Beihai picorna-like virus 17
1922560,Beihai picorna-like virus 18
1922561,Beihai picorna-like virus 19
1922562,Beihai picorna-like virus 2
1922563,Beihai picorna-like virus 20
1922564,Beihai picorna-like virus 21
1922566,Beihai picorna-like virus 23
1922567,Beihai picorna-like virus 24
1922569,Beihai picorna-like virus 26
1922570,Beihai picorna-like virus 27
1922571,Beihai picorna-like virus 28
1922573,Beihai picorna-like virus 30
1922575,Beihai picorna-like virus 32
1922576,Beihai picorna-like virus 33
1922578,Beihai picorna-like virus 35
1922582,Beihai picorna-like virus 39
1922583,Beihai picorna-like virus 4
1922584,Beihai picorna-like virus 40
1922585,Beihai picorna-like virus 41
1922586,Beihai picorna-like virus 42
1922587,Beihai picorna-like virus 43
1922588,Beihai picorna-like virus 44
1922589,Beihai picorna-like virus 45
1922590,Beihai picorna-like virus 46
1922591,Beihai picorna-like virus 47
1922592,Beihai picorna-like virus 48
1922593,Beihai picorna-like virus 49
1922594,Beihai picorna-like virus 5
1922595,Beihai picorna-like virus 50
1922596,Beihai picorna-like virus 51
1922597,Beihai picorna-like virus 52
1922598,Beihai picorna-like virus 53
1922599,Beihai picorna-like virus 54
1922600,Beihai picorna-like virus 55
1922601,Beihai picorna-like virus 56
1922602,Beihai picorna-like virus 57
1922603,Beihai picorna-like virus 58
1922604,Beihai picorna-like virus 59
1922605,Beihai picorna-like virus 6
1922606,Beihai picorna-like virus 60
1922607,Beihai picorna-like virus 61
1922608,Beihai picorna-like virus 62
1922609,Beihai picorna-like virus 63
1922610,Beihai picorna-like virus 64
1922611,Beihai picorna-like virus 65
1922612,Beihai picorna-like virus 66
1922613,Beihai picorna-like virus 67
1922614,Beihai picorna-like virus 68
1922615,Beihai picorna-like virus 69
1922616,Beihai picorna-like virus 7
1922617,Beihai picorna-like virus 70
1922618,Beihai picorna-like virus 71
1922619,Beihai picorna-like virus 72
1922620,Beihai picorna-like virus 73
1922621,Beihai picorna-like virus 74
1922622,Beihai picorna-like virus 75
1922624,Beihai picorna-like virus 77
1922626,Beihai picorna-like virus 79
1922627,Beihai picorna-like virus 8
1922628,Beihai picorna-like virus 80
1922629,Beihai picorna-like virus 81
1922630,Beihai picorna-like virus 82
1922631,Beihai picorna-like virus 83
1922632,Beihai picorna-like virus 84
1922633,Beihai picorna-like virus 85
1922634,Beihai picorna-like virus 87
1922636,Beihai picorna-like virus 9
1922637,Beihai picorna-like virus 90
1922638,Beihai picorna-like virus 91
1922639,Beihai picorna-like virus 93
1922641,Beihai picorna-like virus 96
1922644,Beihai picorna-like virus 99
1922645,Beihai razor shell virus 1
1922646,Beihai razor shell virus 2
1922647,Beihai razor shell virus 3
1922648,Beihai razor shell virus 4
1922657,Beihai sea slater virus 1
1922658,Beihai sea slater virus 2
1922659,Beihai sea slater virus 3
1922660,Beihai sea slater virus 4
1922661,Beihai sesarmid crab virus 1
1922662,Beihai sesarmid crab virus 2
1922666,Beihai sesarmid crab virus 7
1922667,Beihai shrimp virus 1
1922668,Beihai shrimp virus 2
1922669,Beihai shrimp virus 3
1922670,Beihai shrimp virus 4
1922671,Beihai shrimp virus 5
1922672,Beihai shrimp virus 6
1922673,Beihai sipunculid worm virus 1
1922674,Beihai sipunculid worm virus 2
1922675,Beihai sipunculid worm virus 3
1922676,Beihai sipunculid worm virus 4
1922677,Beihai sipunculid worm virus 5
1922680,Beihai sobemo-like virus 1
1922681,Beihai sobemo-like virus 10
1922682,Beihai sobemo-like virus 11
1922683,Beihai sobemo-like virus 12
1922684,Beihai sobemo-like virus 13
1922685,Beihai sobemo-like virus 14
1922686,Beihai sobemo-like virus 15
1922687,Beihai sobemo-like virus 16
1922688,Beihai sobemo-like virus 17
1922689,Beihai sobemo-like virus 18
1922690,Beihai sobemo-like virus 19
1922691,Beihai sobemo-like virus 2
1922692,Beihai sobemo-like virus 20
1922693,Beihai sobemo-like virus 21
1922694,Beihai sobemo-like virus 22
1922695,Beihai sobemo-like virus 23
1922696,Beihai sobemo-like virus 24
1922697,Beihai sobemo-like virus 25
1922698,Beihai sobemo-like virus 26
1922699,Beihai sobemo-like virus 27
1922700,Beihai sobemo-like virus 3
1922701,Beihai sobemo-like virus 4
1922702,Beihai sobemo-like virus 5
1922703,Beihai sobemo-like virus 6
1922704,Beihai sobemo-like virus 7
1922705,Beihai sobemo-like virus 8
1922706,Beihai sobemo-like virus 9
1922707,Beihai sphaeromadae virus 1
1922708,Beihai sphaeromadae virus 2
1922709,Beihai sphaeromadae virus 3
1922710,Beihai sphaeromadae virus 4
1922711,Beihai tiger crab virus 1
1922712,Beihai tombus-like virus 1
1922713,Beihai tombus-like virus 10
1922714,Beihai tombus-like virus 11
1922715,Beihai tombus-like virus 12
1922716,Beihai tombus-like virus 13
1922717,Beihai tombus-like virus 14
1922718,Beihai tombus-like virus 15
1922719,Beihai tombus-like virus 16
1922720,Beihai tombus-like virus 17
1922721,Beihai tombus-like virus 18
1922722,Beihai tombus-like virus 19
1922723,Beihai tombus-like virus 2
1922724,Beihai tombus-like virus 3
1922725,Beihai tombus-like virus 4
1922726,Beihai tombus-like virus 5
1922728,Beihai tombus-like virus 7
1922729,Beihai tombus-like virus 8
1922730,Beihai tombus-like virus 9
1922734,Beihai toti-like virus 4
1922737,Beihai victori-like virus 1
1922738,Beihai weivirus-like virus 1
1922740,Beihai weivirus-like virus 11
1922741,Beihai weivirus-like virus 12
1922742,Beihai weivirus-like virus 13
1922743,Beihai weivirus-like virus 15
1922744,Beihai weivirus-like virus 16
1922745,Beihai weivirus-like virus 17
1922746,Beihai weivirus-like virus 18
1922748,Beihai weivirus-like virus 2
1922749,Beihai weivirus-like virus 20
1922750,Beihai weivirus-like virus 21
1922751,Beihai weivirus-like virus 3
1922752,Beihai weivirus-like virus 4
1922753,Beihai weivirus-like virus 5
1922754,Beihai weivirus-like virus 7
1922755,Beihai weivirus-like virus 8
1922756,Beihai weivirus-like virus 9
1922757,Beihai zhaovirus-like virus 1
1922758,Beihai zhaovirus-like virus 2
1922759,Beihai zhaovirus-like virus 3
1922760,Beihai zhaovirus-like virus 4
1922761,Beihai zhaovirus-like virus 5
1922764,Changjiang astro-like virus
